,country,year,population,gdp,co2,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,continent,latitude,longitude,co2_cum,co2_cum_total
18798,163.0,0.9487179487179489,0.00039016033881533946,0.0009637797443649411,0.0002751931321383525,0.0,0.0,0.0,0.0,5.0,0.07227936394607247,-0.9787303563466823,0.0002716509308949848,0.8636511006540252
16625,145.0,0.04273504273504258,2.5128449378605064e-05,1.5192006743910504e-06,3.995544568251943e-07,0.0,0.0,0.0,0.0,4.0,-0.24032118276453576,-3.0040615811972655,6.299152020753271e-08,0.007483103935312525
16049,140.0,0.1025641025641022,0.05122991177047449,0.03782314713958426,0.006914689429816812,0.005,0.011,0.016,0.0,2.0,1.1289891532975862,1.7059774198146975,0.0018128802036927393,0.021196517063994103
15424,134.0,0.8119658119658126,0.01733502722538579,0.007705676787838773,0.002511499426988965,0.001,0.002,0.003,0.0,5.0,-0.11990359077724708,-1.3097971986377253,0.002459139080615246,0.5730136559266255
11594,101.0,0.4017094017094003,0.002646391322267593,0.0003957092380599856,3.995544568251943e-07,0.0,0.001,0.001,0.0,0.0,-0.3303028697895431,0.8105595664231429,5.905455019456191e-07,0.11335419678595096
8488,74.0,0.8632478632478637,0.004847242289214446,0.0012485312281461936,0.0005658689994786813,0.0,0.001,0.001,0.0,3.0,0.2662891286175157,-1.5023011333731204,0.00029090271425841197,0.6677673764461005
20727,180.0,0.6581196581196558,0.0004998666759128129,0.0016276574697657808,0.0038707836891082753,0.0,0.0,0.0,0.0,1.0,0.418883362857818,0.9424687709793759,0.0006680880633210918,0.32680187094691204
16388,143.0,0.03418803418803407,3.657728801698639e-05,2.6895541826887844e-06,3.995544568251943e-07,0.0,0.0,0.0,0.0,3.0,0.2412926225542203,-1.0642151397220732,5.249293350627726e-08,0.005840920199875987
9183,80.0,0.7692307692307665,0.012519880825687491,0.0040399235092973,0.004900235747118389,0.004,0.001,0.004,0.0,1.0,0.5776268266398801,0.7709988043694133,0.0031730902199407726,0.4985788686821973
3847,34.0,0.39316239316239177,0.004349377351904144,0.0019016881152979493,0.0005424950637544075,0.0,0.001,0.001,0.0,5.0,-0.5543398967588519,-1.2447473497365686,0.0004565179194707167,0.10992039412766835
2211,19.0,0.38461538461538325,0.00014709056047742755,0.00014436673551224943,0.0,0.0,0.0,0.0,0.0,1.0,0.48082967426439555,1.5797311437107413,0.0,0.10681902706895534
18449,160.0,0.9914529914529915,0.032952034463695976,0.08062542022431989,0.02593398101776709,0.002,0.007,0.009,0.001,2.0,0.6863693771898276,-0.08443866443767199,0.035706160558077994,0.9769820005657622
6506,57.0,0.4102564102564088,0.00018349412339430224,6.689031237923923e-06,3.995544568251943e-07,0.0,0.0,0.0,0.0,0.0,-0.46360274396711887,0.5480182304323244,5.144307483615171e-07,0.11680425461164491
18822,164.0,0.14529914529914478,0.004080621076621146,0.001575157332062869,0.0006896309924802852,0.0,0.001,0.001,0.0,2.0,1.0415247284727915,0.25343678929587576,0.0005679131736643877,0.032405950032336414
7277,64.0,0.17948717948717885,0.0019036392293475992,0.0025936372570482006,1.3784628760469202e-05,0.0,0.0,0.0,0.0,1.0,0.7274683677265099,0.7684471871082044,1.9535245204361083e-05,0.041202178684226404
1633,14.0,0.44444444444444287,0.000154267888899185,4.2492669661018396e-05,8.790198050154273e-06,0.0,0.0,0.0,0.0,3.0,0.22951137434123675,-1.0389077695750464,1.2440825240987708e-06,0.13263734210386904
3756,33.0,0.5555555555555536,0.002364377340058928,0.00017089964925906127,1.0588193105867647e-05,0.0,0.0,0.0,0.0,0.0,0.27250547654099017,0.33188512943886506,2.931730336325585e-06,0.2072467259595217
14454,126.0,0.1538461538461533,0.0006680829176458638,0.00015271572893460066,2.6270705536256524e-05,0.0,0.0,0.0,0.0,2.0,0.7263557936321922,0.37903033843952505,7.871315379266274e-06,0.034751621401804114
11252,98.0,0.5042735042735025,1.0103000924046644e-05,0.0022321963812040294,1.1986633704755827e-06,0.0,0.0,0.0,0.0,2.0,0.8227766704742392,0.1667339685607861,1.8897456062259811e-06,0.16782857472242502
14386,125.0,0.5811965811965791,0.010079164422147235,0.0028548436585083903,0.005920298275393109,0.0,0.001,0.001,0.0,1.0,0.7046533172793557,2.2180873142843316,0.0015301663870613067,0.23111960472614682
16614,144.0,0.9572649572649574,7.529316747044979e-05,1.5192006743910504e-06,2.307426988165497e-05,0.0,0.0,0.0,0.0,3.0,0.22522548972483267,-1.0694776721906498,1.3949997079293182e-05,0.8860623864435648
2833,24.0,0.6666666666666643,0.00012356676375822152,0.00046317183868176473,0.0009523380478428506,0.0,0.0,0.0,0.0,1.0,0.07703386772130778,1.9995432782940203,0.0002939683015751786,0.33918311669661516
9272,81.0,0.6837606837606813,0.0024034137245950464,0.0026316443395775196,0.002624273672427876,-0.001,0.0,-0.0,0.0,2.0,0.9226717299121361,-0.13926784778585746,0.0019494405702093198,0.3645850267604184
8104,71.0,0.19658119658119588,0.0002527097486890078,1.2225856986033194e-05,6.992202994440899e-07,0.0,0.0,0.0,0.0,0.0,0.2062144035810218,-0.2659027336650752,4.4094064145272897e-07,0.045844211483106606
